"","Sample_ID","MaxDepth","AveDepth"
"1","D75002-","17052","7705.6994365184"
"2","D75004-","10286","4675.70737244593"
"3","D75009-","7119","3046.95011990408"
"4","D75010-","20806","4532.58895705521"
"5","D75011-","30431","4134.20958298482"
"6","D75012-","17399","4196.46045400239"
"7","D75015-","13251","3040.6684723727"
"8","D75016-","12965","3526.81003584229"
"9","D75017-","11102","2749.92007168459"
"10","D75018-","33188","2916.13308487617"
"11","D75019-","19157","1904.23931215668"
"12","D75021-","2406","952.278900179319"
"13","D75022-","10839","3143.95577780455"
"14","D75023-","19838","1721.32483542789"
"15","D75024-","2612","788.48975188781"
"16","D75025-","19043","4177.89019419803"
"17","D75026-","14194","3908.21968701469"
"18","D75027-","13578","3229.20985576923"
"19","D75028-","11179","3571.60323935213"
"20","D75029-","19546","3934.18563734291"
"21","D75030R","70332","723.467081637539"
"22","D75031-","10239","4068.12639673195"
"23","D75033-","18910","5266.92190681519"
"24","D75035-","26243","2779.85859309686"
"25","D75036-","20679","3048.08964857758"
"26","D75043-","16060","1815.24154878926"
"27","D75044-","17846","4491.89772863839"
"28","D75045-","18081","5102.96726012666"
"29","D75047-","3109","1143.59997611085"
"30","D75049-","24986","7303.5063078217"
"31","D75051-","13273","4694.44723317796"
"32","D75052-","39034","4958.27547485366"
"33","D75053-","14287","4001.04436982852"
"34","D75055-","28186","2814.14062126643"
"35","D75056-","10475","2746.69041357877"
"36","D75057-","25693","4785.96354229335"
"37","D75058-","51509","6607.3152420801"
"38","D75059-","27417","6539.74668754517"
"39","D75060-","13886","5558.56510292006"
"40","D75062-","17404","5339.90801576872"
"41","D75063-","31248","3950.96282572317"
"42","D75065-","29285","8231.46987807793"
"43","D75075R","12162","3840.94637941352"
"44","D75076-","10813","4091.7555528875"
"45","D75080-","7867","1954.85528202677"
"46","D75083-","13008","4152.27566857689"
"47","D75089-","11801","4241.10311004785"
"48","D75092-","11361","1989.43103448276"
"49","D75113R","6414","787.074082925081"
"50","D75129R","44927","2926.58514449486"
