"","gene1","gene2","test","P.value"
"1","Core","E1","less",3.70311981333095e-07
"2","Core","HVR1","less",1.17870609855337e-07
"3","Core","E2","less",1.56696330557314e-12
"4","Core","NS1","less",1.81508434144091e-07
"5","Core","NS2","less",6.95662962131466e-12
"6","Core","NS3","less",8.58419412651327e-06
"7","Core","NS4A","less",0.0132952031478044
"8","Core","NS4B","less",0.00149828316274741
"9","Core","NS5A","less",1.13226872245161e-05
"10","Core","NS5B","less",0.0433653846052207
"11","E1","HVR1","less",0.000257584612149835
"12","E1","E2","less",0.0619831411283934
"13","E1","NS1","less",0.0692748583359096
"14","E1","NS2","less",0.0327276093371353
"15","E1","NS3","less",0.945923055313513
"16","E1","NS4A","less",0.896453404349934
"17","E1","NS4B","less",0.988465394509651
"18","E1","NS5A","less",0.929729051627849
"19","E1","NS5B","less",0.999957499269258
"20","HVR1","E2","less",0.9991517222079
"21","HVR1","NS1","less",0.996313398664226
"22","HVR1","NS2","less",0.998257727850634
"23","HVR1","NS3","less",0.999974467005708
"24","HVR1","NS4A","less",0.999930253609981
"25","HVR1","NS4B","less",0.999988624897711
"26","HVR1","NS5A","less",0.99997573818503
"27","HVR1","NS5B","less",0.999999133772497
"28","E2","NS1","less",0.316024410812459
"29","E2","NS2","less",0.309294706887952
"30","E2","NS3","less",0.999941016831239
"31","E2","NS4A","less",0.988359996049033
"32","E2","NS4B","less",0.999989390001687
"33","E2","NS5A","less",0.999825505269776
"34","E2","NS5B","less",0.999999999749563
"35","NS1","NS2","less",0.568693122820073
"36","NS1","NS3","less",0.994727630712545
"37","NS1","NS4A","less",0.990415843330383
"38","NS1","NS4B","less",0.999121640283632
"39","NS1","NS5A","less",0.993964263752513
"40","NS1","NS5B","less",0.99998857008185
"41","NS2","NS3","less",0.999925263688535
"42","NS2","NS4A","less",0.992789275869692
"43","NS2","NS4B","less",0.999988328659683
"44","NS2","NS5A","less",0.999836486012864
"45","NS2","NS5B","less",0.99999999849571
"46","NS3","NS4A","less",0.647809703641883
"47","NS3","NS4B","less",0.860241992938664
"48","NS3","NS5A","less",0.465475332080082
"49","NS3","NS5B","less",0.998931935538959
"50","NS4A","NS4B","less",0.61162033996717
"51","NS4A","NS5A","less",0.325617561042452
"52","NS4A","NS5B","less",0.869984018084339
"53","NS4B","NS5A","less",0.129412472964962
"54","NS4B","NS5B","less",0.939749604130884
"55","NS5A","NS5B","less",0.998763779034675
"56","Core","E1","greater",0.999999630035697
"57","Core","HVR1","greater",0.999999882592501
"58","Core","E2","greater",0.999999999998434
"59","Core","NS1","greater",0.999999818868282
"60","Core","NS2","greater",0.999999999993051
"61","Core","NS3","greater",0.999991418499187
"62","Core","NS4A","greater",0.986719739745878
"63","Core","NS4B","greater",0.998502435224325
"64","Core","NS5A","greater",0.99998868211087
"65","Core","NS5B","greater",0.956645875799571
"66","E1","HVR1","greater",0.999743115903656
"67","E1","E2","greater",0.938031307284278
"68","E1","NS1","greater",0.930777299317655
"69","E1","NS2","greater",0.967284693561054
"70","E1","NS3","greater",0.0540845467436507
"71","E1","NS4A","greater",0.103624967277717
"72","E1","NS4B","greater",0.0115390324205939
"73","E1","NS5A","greater",0.0702837105392145
"74","E1","NS5B","greater",4.25222662799915e-05
"75","HVR1","E2","greater",0.000849527608561231
"76","HVR1","NS1","greater",0.00370916072227996
"77","HVR1","NS2","greater",0.00174598416246556
"78","HVR1","NS3","greater",2.55584789986555e-05
"79","HVR1","NS4A","greater",7.04175364139637e-05
"80","HVR1","NS4B","greater",1.14034534987181e-05
"81","HVR1","NS5A","greater",2.42964607207712e-05
"82","HVR1","NS5B","greater",8.68156169518417e-07
"83","E2","NS1","greater",0.684060605185477
"84","E2","NS2","greater",0.690744132992687
"85","E2","NS3","greater",5.89948776978089e-05
"86","E2","NS4A","greater",0.0116480281080316
"87","E2","NS4B","greater",1.06146055728453e-05
"88","E2","NS5A","greater",0.000174538154470393
"89","E2","NS5B","greater",2.50567758284308e-10
"90","NS1","NS2","greater",0.431447543728241
"91","NS1","NS3","greater",0.00527437722058764
"92","NS1","NS4A","greater",0.00961276298856034
"93","NS1","NS4B","greater",0.000879272751572022
"94","NS1","NS5A","greater",0.00603892694730218
"95","NS1","NS5B","greater",1.14424947616816e-05
"96","NS2","NS3","greater",7.47558740328297e-05
"97","NS2","NS4A","greater",0.00721867161742992
"98","NS2","NS4B","greater",1.16784103637128e-05
"99","NS2","NS5A","greater",0.000163569603045956
"100","NS2","NS5B","greater",1.50533041635494e-09
"101","NS3","NS4A","greater",0.352244253891134
"102","NS3","NS4B","greater",0.139770909669539
"103","NS3","NS5A","greater",0.534540749306831
"104","NS3","NS5B","greater",0.00106824265348034
"105","NS4A","NS4B","greater",0.388509178687567
"106","NS4A","NS5A","greater",0.674456413140415
"107","NS4A","NS5B","greater",0.130073701323384
"108","NS4B","NS5A","greater",0.870604095974403
"109","NS4B","NS5B","greater",0.0602623493456419
"110","NS5A","NS5B","greater",0.00123649415826554
