"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.44409918450472,0.616718557022505,0.628601106365874
"Core",0.0955891163316215,0.0561985770356045,0.3496039980181
"E1",0.340204996056734,0.139116882221902,0.224823153262419
"HVR1",0.5,0.5,1
"E2",0.332828132008492,0.00215874141816027,0.00577326960685309
"NS1",0.917253025612159,0.176340687176601,0.0315064192773171
"NS2",0.516206664201303,0.108933540359045,0.102909967479125
"NS3",0.0397165851916114,4.18405108290439e-07,0.000465537352269625
"NS4A",0.488494060553595,0.291602123054461,0.364556837626432
"NS4B",0.111598166707556,0.104154478549699,0.386755118203208
"NS5A",4.69909353462892e-06,0.0322954006528969,0.966600965762431
"NS5B",0.01514743425758,0.142319273738069,0.888136706662033
