"","1A-1B","1A-3A","1B-3A"
"5' UTR",0.634022667408454,0.410289256537417,0.273285748943373
"Core",0.0097468520486142,0.105725874379696,0.797904860258068
"E1",0.00155293605252075,0.000331632452690851,0.477302005477572
"HVR1",0.0141470280129707,0.31200025146999,0.957434088367009
"E2",0.000195003128556493,1.96990805359853e-10,0.00203272357941754
"NS1",0.901078392336536,0.137097848151586,0.0114986248673956
"NS2",0.0096040301828994,0.00032872632657183,0.0344332627618937
"NS3",3.55726636032357e-08,6.16033970108143e-15,0.0123850990401193
"NS4A",0.428494021655986,0.0751443162129802,0.138457669220058
"NS4B",0.00139409569807635,6.28869355024521e-06,0.0373608784358495
"NS5A",1.59963609998793e-09,1.96648180201183e-05,0.962742192338353
"NS5B",0.00101983667964293,0.000145479435430674,0.294013157408101
