"","window","no.N","no.S","pi.N","pi.S","N_over_S"
"1",1,18,1,0.00829325663116334,0.0146280279165431,0.566942904298421
"2",2,17,1,0.00955268912031836,0.0146627008074886,0.651495876901449
"3",3,17,1,0.00982766108550421,0.015417311207702,0.637443257978382
"4",4,17,1,0.00989178188708437,0.0175383863222986,0.564007526422644
"5",5,17,1,0.0101564689554479,0.0178966283477646,0.567507396258608
"6",6,17,1,0.0106165819789921,0.0172518633699345,0.615387552714684
"7",7,17,1,0.0108803082033387,0.0167662997787114,0.648939142621899
"8",8,17,1,0.01196602038352,0.0135236199047017,0.884823772617255
"9",9,18,9,0.0117045615237922,0.0158289895670651,0.739438324486958
"10",10,18,9,0.0112186594136113,0.0148543066466335,0.755246251507392
"11",11,18,9,0.00995312486233318,0.0142066306790232,0.70059714278555
"12",12,17,1,0.00987642915659725,0.0134118103099648,0.736397915593779
"13",13,17,1,0.00960806300071797,0.0101980154380246,0.942150270227388
"14",14,17,1,0.00954653561498872,0.0142902435919035,0.66804568820629
"15",15,17,1,0.0099687742569579,0.0139794486711703,0.713102103770116
"16",16,17,1,0.00944877710170922,0.0144590349431557,0.653486013337415
"17",17,17,1,0.00879922154459948,0.0151411218277318,0.581147265355411
"18",18,17,1,0.00839114227370555,0.015617493898684,0.53729121510415
"19",19,17,1,0.00817253843161911,0.0180792030250006,0.452040857128372
"20",20,17,1,0.00815077966803092,0.020240734907517,0.402691883732141
"21",21,17,1,0.0081135997022988,0.0201036358751002,0.403588671855526
"22",22,17,1,0.0081485617794079,0.0203140686416524,0.401128987164093
"23",23,17,1,0.00753435986337039,0.0163461207979746,0.460926476470427
"24",24,17,1,0.00647330665812652,0.0171197377234905,0.378119499415245
"25",25,17,1,0.00610867081237227,0.017122246018915,0.356768078535025
"26",26,17,1,0.00603355150399178,0.0173600225032551,0.347554359613327
"27",27,17,1,0.0061440926328319,0.0140484670420078,0.437349684806163
"28",28,16,1,0.0069464987650683,0.0121016415366804,0.574012934031576
"29",29,15,1,0.0071620169948544,0.0108282230213921,0.661421267432819
"30",30,16,11,0.0070043831113311,0.0111318183800319,0.629221828115293
"31",31,16,11,0.00659448725592563,0.0110722190682805,0.595588582131416
"32",32,16,11,0.00683572418083913,0.0101883617208858,0.670934578895655
"33",33,16,11,0.00706577021130868,0.00966779226990445,0.730856643796972
"34",34,16,11,0.00735631302338461,0.0108947985838007,0.675213310902559
"35",35,16,11,0.00777589755452694,0.011813288021602,0.658233130378928
"36",36,15,12,0.00799985821156116,0.0117800556398502,0.679101903771899
"37",37,16,11,0.00735689439027584,0.0118074926706383,0.623069994239358
"38",38,17,10,0.00712032355130817,0.0108322493404821,0.657326408163284
"39",39,17,10,0.00705334139867159,0.010973620998385,0.642754237613057
"40",40,17,10,0.0074540147817692,0.0112024118554929,0.665393745375848
"41",41,17,10,0.00758236896903455,0.0112634323839496,0.673184577362
"42",42,17,10,0.0075643307692545,0.0118014286599474,0.640967376681002
"43",43,17,10,0.00831268933094865,0.00982325389908882,0.846225641354919
"44",44,17,10,0.00817631759290419,0.00888623914585415,0.920110010399488
"45",45,18,9,0.0081674563945398,0.0096812569769098,0.843635946656465
"46",46,18,9,0.00828452585656327,0.00904388585695901,0.916036091962457
"47",47,18,9,0.00825805975511833,0.00887418048962277,0.930571534439162
"48",48,18,9,0.00877142981499446,0.010617738758242,0.826110908802086
"49",49,17,1,0.00899336621183275,0.0119633818751804,0.751741130197529
"50",50,17,1,0.00843366785729947,0.0123525301690507,0.682748209628345
"51",51,16,2,0.00851382518571413,0.0140971709762781,0.603938563279166
"52",52,16,2,0.00777365455103696,0.017686067671455,0.439535497400787
"53",53,16,2,0.00747540702094861,0.0190262635975145,0.392899372103997
"54",54,16,2,0.00729786202264173,0.0202582311278178,0.36024181857717
"55",55,15,3,0.00742953330710496,0.0205182160005157,0.362094506994089
"56",56,15,3,0.00735406939560818,0.0219624497007996,0.334847409819699
"57",57,15,3,0.00675866661723832,0.0229902960407848,0.29397910341165
"58",58,16,2,0.00644056421478162,0.0223600759354781,0.288038566298541
"59",59,16,2,0.00690535141875513,0.0217210084796146,0.317911179181016
"60",60,17,1,0.00702213992180293,0.0232355900954312,0.302214830480406
"61",61,17,1,0.00695773319398844,0.0209380518531856,0.33230088657603
"62",62,17,1,0.00727308122615739,0.0201055533030775,0.361744892892061
"63",63,17,1,0.00824155861428083,0.0189414063501216,0.435108062302244
"64",64,18,9,0.0078918868920607,0.0189205602060345,0.417106407322108
"65",65,18,9,0.00781820913582386,0.0210883818209128,0.370735374682507
"66",66,18,9,0.00793097022858075,0.0187059976630092,0.423980071603672
"67",67,18,9,0.00879912567625557,0.0176548315609015,0.498397599880939
"68",68,17,2,0.00913718645503224,0.0192312684917205,0.475121360765464
"69",69,17,2,0.00890877733891805,0.0199958004841869,0.445532417967628
"70",70,16,3,0.00903813638986127,0.0184401815506543,0.49013272266512
"71",71,16,3,0.00846453765576705,0.0198752559779887,0.425883201964356
"72",72,16,3,0.00762145327263696,0.0186540731677262,0.408567780565104
"73",73,16,3,0.00763688581792351,0.0223652370685896,0.341462323627634
"74",74,16,3,0.00783600448226547,0.0216790173769366,0.361455703735072
"75",75,15,5,0.0077291288192759,0.0229087587471604,0.33738749901646
"76",76,15,5,0.00666797607948093,0.0241961239313528,0.275580340818173
