"","Gene","Counts","Total","Expected","Difference"
"1","Core",9,481,23.9934935839508,-62.4898309680918
"2","E1",23,372,18.5562985722031,23.9471326164875
"3","HVR1",5,30,1.49647569130671,234.118357487923
"4","E2",36,688,34.3191758539671,4.89762386248735
"5","NS1(P7)",5,108,5.38731248870414,-7.1893451422437
"6","NS2",17,353,17.6085306343756,-3.45588537176171
"7","NS3",57,1302,64.947045002711,-12.2361918119281
"8","NS4A",9,112,5.58684258087837,61.0927795031056
"9","NS4B",34,530,26.4377372130851,28.6040470330872
"10","NS5A",45,828,41.3027290800651,8.95163831127915
"11","NS5B",36,653,32.5732875474426,10.5200079898795
